,districtname,unduplicated_pupil_count,base_grant,supplemental_grant,concentration_grant,total_grants,cds
10,Alameda Unified, 0.3486 ," 75,938,983 "," 5,294,466 ", - ," 82,158,116 ",01611190000000
16,Albany City Unified, 0.2833 ," 29,644,972 "," 1,679,684 ", - ," 31,352,540 ",01611270000000
17,Berkeley Unified, 0.3519 ," 78,556,532 "," 5,528,808 ", - ," 89,369,621 ",01611430000000
19,Castro Valley Unified, 0.2904 ," 74,911,585 "," 4,350,864 ", - ," 79,554,607 ",01611500000000
20,Emery Unified, 0.7953 ," 5,702,229 "," 906,997 "," 699,378 "," 7,326,875 ",01611680000000
21,Fremont Unified, 0.2780 ," 284,970,897 "," 15,844,382 ", - ," 305,033,425 ",01611760000000
23,Hayward Unified, 0.7685 ," 158,763,208 "," 24,401,905 "," 17,344,881 "," 202,238,284 ",01611920000000
29,Livermore Valley Joint Unified, 0.2809 ," 110,617,503 "," 6,214,491 ", - ," 118,050,908 ",01612000000000
30,Mountain House Elementary, 0.7547 ," 141,838 "," 21,409 "," 14,517 "," 207,042 ",01612180000000
31,Newark Unified, 0.5588 ," 47,676,224 "," 5,328,295 "," 209,776 "," 54,024,719 ",01612340000000
32,New Haven Unified, 0.5472 ," 92,934,359 "," 10,170,737 ", - ," 103,626,264 ",01612420000000
33,Oakland Unified, 0.7678 ," 284,749,840 "," 43,726,185 "," 31,009,257 "," 375,304,926 ",01612590000000
68,Piedmont City Unified, 0.0260 ," 21,291,855 "," 110,718 ", - ," 21,415,069 ",01612750000000
69,San Leandro Unified, 0.6811 ," 70,841,466 "," 9,650,024 "," 4,643,658 "," 85,389,380 ",01612910000000
70,San Lorenzo Unified, 0.7109 ," 82,730,020 "," 11,762,555 "," 6,655,630 "," 102,065,752 ",01613090000000
73,Dublin Unified, 0.1554 ," 97,373,167 "," 3,026,358 ", - ," 100,522,910 ",01750930000000
74,Pleasanton Unified, 0.1601 ," 121,206,907 "," 3,881,045 ", - ," 125,781,867 ",01751010000000
75,Sunol Glen Unified, 0.1175 ," 2,276,497 "," 53,498 ", - ," 2,384,475 ",01751190000000
77,Alpine County Unified, 0.6805 ," 847,795 "," 115,385 "," 55,319 "," 1,198,355 ",02613330000000
79,Amador County Unified, 0.4503 ," 33,009,328 "," 2,972,820 ", - ," 37,212,708 ",03739810000000
84,Bangor Union Elementary, 0.7395 ," 787,929 "," 116,534 "," 74,657 "," 1,001,528 ",04613820000000
85,Biggs Unified, 0.6417 ," 3,041,401 "," 632,853 "," 226,090 "," 6,006,620 ",04614080000000
86,Chico Unified, 0.4781 ," 98,950,196 "," 9,461,618 ", - ," 109,564,375 ",04614240000000
95,Durham Unified, 0.3917 ," 8,318,840 "," 651,699 ", - ," 9,191,406 ",04614320000000
96,Feather Falls Union Elementary, 0.6389 , - ," 10,956 "," 3,811 "," 201,061 ",04614400000000
98,Golden Feather Union Elementary, 0.8536 ," 469,139 "," 80,092 "," 71,216 "," 747,708 ",04614570000000
99,Manzanita Elementary, 0.4777 ," 2,432,244 "," 232,376 ", - ," 2,681,195 ",04614990000000
100,Oroville City Elementary, 0.7876 ," 17,668,473 "," 2,783,138 "," 2,099,014 "," 23,008,797 ",04615070000000
102,Oroville Union High, 0.7587 ," 18,759,436 "," 2,846,557 "," 1,957,547 "," 24,031,732 ",04615150000000
103,Palermo Union Elementary, 0.7795 ," 9,875,453 "," 1,555,618 "," 1,145,011 "," 12,983,410 ",04615230000000
104,Paradise Unified, 0.6551 ," 26,877,454 "," 3,521,484 "," 1,412,410 "," 32,609,795 ",04615310000000
109,Thermalito Union Elementary, 0.8995 ," 11,967,423 "," 2,152,939 "," 2,091,307 "," 16,496,349 ",04615490000000
110,Pioneer Union Elementary, 0.9372 ," 7,485 "," 86,075 "," 88,903 "," 735,618 ",04733790000000
111,Gridley Unified, 0.7133 ," 16,672,637 "," 2,378,518 "," 1,361,322 "," 20,687,548 ",04755070000000
113,Bret Harte Union High, 0.3889 ," 5,889,430 "," 458,080 ", - ," 6,626,922 ",05615560000000
