,District Code,districtname,studentgroup,currstatus,priorstatus,change,countyname
164,61119,Alameda Unified,african_american,-43.0,-48.7,5.7,Alameda
165,61119,Alameda Unified,american_indian,-14.8,14.3,-29.1,Alameda
166,61119,Alameda Unified,all_students,36.8,32.8,4.0,Alameda
167,61119,Alameda Unified,asian,48.6,54.0,-5.3,Alameda
168,61119,Alameda Unified,english_learners,-2.5,-1.4,-1.1,Alameda
169,61119,Alameda Unified,english_learners_only,-42.0,-44.7,2.7,Alameda
170,61119,Alameda Unified,english_only,43.5,38.3,5.2,Alameda
171,61119,Alameda Unified,filipino,29.8,16.0,13.9,Alameda
172,61119,Alameda Unified,foster_youth,,,,Alameda
173,61119,Alameda Unified,hispanic,5.0,0.9,4.1,Alameda
174,61119,Alameda Unified,homeless_youth,-75.5,-56.7,-18.7,Alameda
175,61119,Alameda Unified,multiple_races,46.6,40.4,6.2,Alameda
176,61119,Alameda Unified,pacific_islander,-27.3,-49.1,21.8,Alameda
177,61119,Alameda Unified,rfep_only,55.0,55.5,-0.5,Alameda
178,61119,Alameda Unified,ses_disad,-13.1,-20.0,6.9,Alameda
179,61119,Alameda Unified,disabilities,-73.1,-80.4,7.3,Alameda
180,61119,Alameda Unified,white,60.8,54.1,6.7,Alameda
488,61127,Albany City Unified,african_american,-9.6,12.2,-21.8,Alameda
489,61127,Albany City Unified,american_indian,,,,Alameda
490,61127,Albany City Unified,all_students,57.5,64.1,-6.6,Alameda
491,61127,Albany City Unified,asian,73.0,73.7,-0.8,Alameda
492,61127,Albany City Unified,english_learners,31.0,37.6,-6.6,Alameda
493,61127,Albany City Unified,english_learners_only,-11.4,-12.5,1.1,Alameda
494,61127,Albany City Unified,english_only,60.9,68.0,-7.1,Alameda
495,61127,Albany City Unified,filipino,38.0,23.3,14.7,Alameda
496,61127,Albany City Unified,foster_youth,,,,Alameda
497,61127,Albany City Unified,hispanic,25.6,28.9,-3.3,Alameda
498,61127,Albany City Unified,homeless_youth,,,,Alameda
499,61127,Albany City Unified,multiple_races,53.9,58.8,-4.9,Alameda
500,61127,Albany City Unified,pacific_islander,,,,Alameda
501,61127,Albany City Unified,rfep_only,60.9,71.4,-10.6,Alameda
502,61127,Albany City Unified,ses_disad,14.5,26.6,-12.1,Alameda
503,61127,Albany City Unified,disabilities,-35.9,-23.9,-12.0,Alameda
504,61127,Albany City Unified,white,67.9,79.3,-11.4,Alameda
583,61143,Berkeley Unified,african_american,-64.9,-73.5,8.6,Alameda
584,61143,Berkeley Unified,american_indian,62.3,,,Alameda
585,61143,Berkeley Unified,all_students,32.2,20.0,12.3,Alameda
586,61143,Berkeley Unified,asian,28.5,24.3,4.2,Alameda
587,61143,Berkeley Unified,english_learners,-47.2,-52.6,5.4,Alameda
588,61143,Berkeley Unified,english_learners_only,-82.8,-75.4,-7.4,Alameda
589,61143,Berkeley Unified,english_only,43.5,31.4,12.1,Alameda
590,61143,Berkeley Unified,filipino,62.5,18.4,44.1,Alameda
591,61143,Berkeley Unified,foster_youth,-53.1,,,Alameda
592,61143,Berkeley Unified,hispanic,-5.3,-20.7,15.5,Alameda
593,61143,Berkeley Unified,homeless_youth,-71.4,-75.4,4.1,Alameda
594,61143,Berkeley Unified,multiple_races,51.9,43.8,8.1,Alameda
595,61143,Berkeley Unified,pacific_islander,,,,Alameda
596,61143,Berkeley Unified,rfep_only,14.4,-3.2,17.6,Alameda
597,61143,Berkeley Unified,ses_disad,-33.0,-47.1,14.1,Alameda
598,61143,Berkeley Unified,disabilities,-86.0,-92.1,6.1,Alameda
599,61143,Berkeley Unified,white,80.7,70.7,10.0,Alameda
854,61150,Castro Valley Unified,african_american,-17.7,-18.7,1.0,Alameda
855,61150,Castro Valley Unified,american_indian,,,,Alameda
856,61150,Castro Valley Unified,all_students,34.2,35.7,-1.5,Alameda
857,61150,Castro Valley Unified,asian,71.9,71.0,0.8,Alameda
858,61150,Castro Valley Unified,english_learners,8.6,6.7,1.9,Alameda
859,61150,Castro Valley Unified,english_learners_only,-63.5,-64.9,1.4,Alameda
860,61150,Castro Valley Unified,english_only,34.0,36.0,-2.0,Alameda
861,61150,Castro Valley Unified,filipino,28.5,40.6,-12.1,Alameda
862,61150,Castro Valley Unified,foster_youth,,,,Alameda
863,61150,Castro Valley Unified,hispanic,-4.6,-2.0,-2.5,Alameda
864,61150,Castro Valley Unified,homeless_youth,-54.7,-24.2,-30.4,Alameda
865,61150,Castro Valley Unified,multiple_races,43.4,46.5,-3.1,Alameda
866,61150,Castro Valley Unified,pacific_islander,4.3,6.3,-1.9,Alameda
867,61150,Castro Valley Unified,rfep_only,43.7,38.9,4.8,Alameda
868,61150,Castro Valley Unified,ses_disad,-7.8,-8.3,0.5,Alameda
869,61150,Castro Valley Unified,disabilities,-67.3,-63.5,-3.8,Alameda
870,61150,Castro Valley Unified,white,39.3,39.8,-0.5,Alameda
1068,61168,Emery Unified,african_american,-71.4,-80.8,9.4,Alameda
1069,61168,Emery Unified,american_indian,,,,Alameda
