,District Code,districtname,studentgroup,m_currstatus,m_priorstatus,m_change,countyname
163,61119,Alameda Unified,african_american,-83.9,-82.8,-1.1,Alameda
164,61119,Alameda Unified,american_indian,-51.8,-50.0,-1.8,Alameda
165,61119,Alameda Unified,all_students,14.3,10.8,3.4,Alameda
166,61119,Alameda Unified,asian,43.6,44.8,-1.2,Alameda
167,61119,Alameda Unified,english_learners,-13.7,-12.9,-0.9,Alameda
168,61119,Alameda Unified,english_learners_only,-42.4,-42.9,0.5,Alameda
169,61119,Alameda Unified,english_only,17.8,13.0,4.7,Alameda
170,61119,Alameda Unified,filipino,-3.5,-12.7,9.3,Alameda
171,61119,Alameda Unified,foster_youth,,,,Alameda
172,61119,Alameda Unified,hispanic,-24.4,-26.7,2.3,Alameda
173,61119,Alameda Unified,homeless_youth,-112.4,-92.3,-20.1,Alameda
174,61119,Alameda Unified,multiple_races,28.3,22.8,5.6,Alameda
175,61119,Alameda Unified,pacific_islander,-77.2,-83.0,5.9,Alameda
176,61119,Alameda Unified,rfep_only,27.8,26.5,1.3,Alameda
177,61119,Alameda Unified,ses_disad,-35.3,-38.8,3.6,Alameda
178,61119,Alameda Unified,disabilities,-99.5,-104.5,5.0,Alameda
179,61119,Alameda Unified,white,29.8,26.0,3.8,Alameda
487,61127,Albany City Unified,african_american,-41.4,-23.1,-18.3,Alameda
488,61127,Albany City Unified,american_indian,,,,Alameda
489,61127,Albany City Unified,all_students,41.2,48.1,-6.9,Alameda
490,61127,Albany City Unified,asian,76.2,74.0,2.2,Alameda
491,61127,Albany City Unified,english_learners,30.7,29.7,0.9,Alameda
492,61127,Albany City Unified,english_learners_only,0.5,-19.2,19.8,Alameda
493,61127,Albany City Unified,english_only,37.9,47.6,-9.7,Alameda
494,61127,Albany City Unified,filipino,20.2,-14.4,34.6,Alameda
495,61127,Albany City Unified,foster_youth,,,,Alameda
496,61127,Albany City Unified,hispanic,-2.7,3.1,-5.8,Alameda
497,61127,Albany City Unified,homeless_youth,,,,Alameda
498,61127,Albany City Unified,multiple_races,32.4,40.5,-8.1,Alameda
499,61127,Albany City Unified,pacific_islander,,,,Alameda
500,61127,Albany City Unified,rfep_only,52.2,64.4,-12.2,Alameda
501,61127,Albany City Unified,ses_disad,0.5,9.7,-9.2,Alameda
502,61127,Albany City Unified,disabilities,-55.7,-43.4,-12.3,Alameda
503,61127,Albany City Unified,white,46.1,59.3,-13.2,Alameda
582,61143,Berkeley Unified,african_american,-86.3,-92.8,6.5,Alameda
583,61143,Berkeley Unified,american_indian,,,,Alameda
584,61143,Berkeley Unified,all_students,14.9,6.1,8.9,Alameda
585,61143,Berkeley Unified,asian,24.9,19.2,5.7,Alameda
586,61143,Berkeley Unified,english_learners,-52.9,-53.3,0.4,Alameda
587,61143,Berkeley Unified,english_learners_only,-81.6,-69.5,-12.1,Alameda
588,61143,Berkeley Unified,english_only,24.8,15.2,9.5,Alameda
589,61143,Berkeley Unified,filipino,57.8,4.4,53.4,Alameda
590,61143,Berkeley Unified,foster_youth,-52.8,,,Alameda
591,61143,Berkeley Unified,hispanic,-22.6,-32.3,9.7,Alameda
592,61143,Berkeley Unified,homeless_youth,-86.2,-98.9,12.7,Alameda
593,61143,Berkeley Unified,multiple_races,33.4,22.4,10.9,Alameda
594,61143,Berkeley Unified,pacific_islander,,,,Alameda
595,61143,Berkeley Unified,rfep_only,-2.2,-17.4,15.2,Alameda
596,61143,Berkeley Unified,ses_disad,-50.2,-60.2,10.0,Alameda
597,61143,Berkeley Unified,disabilities,-105.2,-108.5,3.3,Alameda
598,61143,Berkeley Unified,white,62.5,59.0,3.5,Alameda
852,61150,Castro Valley Unified,african_american,-42.8,-49.9,7.1,Alameda
853,61150,Castro Valley Unified,american_indian,,,,Alameda
854,61150,Castro Valley Unified,all_students,22.0,18.9,3.1,Alameda
855,61150,Castro Valley Unified,asian,76.1,71.7,4.5,Alameda
856,61150,Castro Valley Unified,english_learners,9.0,6.2,2.8,Alameda
857,61150,Castro Valley Unified,english_learners_only,-47.5,-44.7,-2.9,Alameda
858,61150,Castro Valley Unified,english_only,17.0,14.3,2.8,Alameda
859,61150,Castro Valley Unified,filipino,13.9,18.8,-4.9,Alameda
860,61150,Castro Valley Unified,foster_youth,,,,Alameda
861,61150,Castro Valley Unified,hispanic,-27.2,-29.7,2.5,Alameda
862,61150,Castro Valley Unified,homeless_youth,-112.1,-51.3,-60.8,Alameda
863,61150,Castro Valley Unified,multiple_races,28.1,27.7,0.4,Alameda
864,61150,Castro Valley Unified,pacific_islander,-9.4,2.0,-11.4,Alameda
865,61150,Castro Valley Unified,rfep_only,36.6,28.9,7.6,Alameda
866,61150,Castro Valley Unified,ses_disad,-23.3,-27.4,4.1,Alameda
867,61150,Castro Valley Unified,disabilities,-85.1,-92.1,7.0,Alameda
868,61150,Castro Valley Unified,white,24.8,19.5,5.3,Alameda
1066,61168,Emery Unified,african_american,-101.3,-104.0,2.7,Alameda
1067,61168,Emery Unified,american_indian,,,,Alameda
1068,61168,Emery Unified,all_students,-76.5,-81.7,5.3,Alameda
1069,61168,Emery Unified,asian,-32.9,-48.9,16.0,Alameda
1070,61168,Emery Unified,english_learners,-62.3,-62.0,-0.3,Alameda
1071,61168,Emery Unified,english_learners_only,-87.5,-78.2,-9.3,Alameda
1072,61168,Emery Unified,english_only,-92.8,-99.4,6.6,Alameda
1073,61168,Emery Unified,filipino,,,,Alameda
1074,61168,Emery Unified,foster_youth,,,,Alameda
1075,61168,Emery Unified,hispanic,-71.5,-68.7,-2.8,Alameda
1076,61168,Emery Unified,homeless_youth,,,,Alameda
1077,61168,Emery Unified,multiple_races,-59.6,,,Alameda
1078,61168,Emery Unified,pacific_islander,,,,Alameda
1079,61168,Emery Unified,rfep_only,-24.6,-18.1,-6.5,Alameda
1080,61168,Emery Unified,ses_disad,-83.6,-91.0,7.5,Alameda
1081,61168,Emery Unified,disabilities,-136.7,-150.9,14.2,Alameda
1082,61168,Emery Unified,white,-43.5,-48.5,5.1,Alameda
1113,61176,Fremont Unified,african_american,-61.4,-64.3,2.8,Alameda
1114,61176,Fremont Unified,american_indian,4.6,-7.8,12.4,Alameda
1115,61176,Fremont Unified,all_students,61.6,57.4,4.2,Alameda
1116,61176,Fremont Unified,asian,104.5,102.2,2.4,Alameda
1117,61176,Fremont Unified,english_learners,34.5,22.7,11.8,Alameda
1118,61176,Fremont Unified,english_learners_only,-69.0,-51.4,-17.6,Alameda
1119,61176,Fremont Unified,english_only,53.6,49.4,4.2,Alameda
1120,61176,Fremont Unified,filipino,14.8,15.7,-0.8,Alameda
1121,61176,Fremont Unified,foster_youth,,-47.2,,Alameda
1122,61176,Fremont Unified,hispanic,-47.5,-48.5,1.0,Alameda
1123,61176,Fremont Unified,homeless_youth,-88.0,-87.5,-0.6,Alameda
1124,61176,Fremont Unified,multiple_races,34.4,29.8,4.6,Alameda
1125,61176,Fremont Unified,pacific_islander,-47.3,-39.9,-7.4,Alameda
1126,61176,Fremont Unified,rfep_only,67.7,63.6,4.1,Alameda
1127,61176,Fremont Unified,ses_disad,-33.1,-40.6,7.5,Alameda
1128,61176,Fremont Unified,disabilities,-80.5,-86.3,5.8,Alameda
1129,61176,Fremont Unified,white,11.5,8.1,3.3,Alameda
1731,61192,Hayward Unified,african_american,-94.5,-96.8,2.4,Alameda
1732,61192,Hayward Unified,american_indian,-54.3,-82.6,28.2,Alameda
1733,61192,Hayward Unified,all_students,-65.1,-69.6,4.5,Alameda
1734,61192,Hayward Unified,asian,-4.6,-6.2,1.6,Alameda
1735,61192,Hayward Unified,english_learners,-84.4,-87.5,3.1,Alameda
1736,61192,Hayward Unified,english_learners_only,-120.8,-124.2,3.4,Alameda
1737,61192,Hayward Unified,english_only,-60.7,-62.6,1.9,Alameda
1738,61192,Hayward Unified,filipino,-8.5,-8.5,0.0,Alameda
1739,61192,Hayward Unified,foster_youth,-146.5,-134.5,-11.9,Alameda
1740,61192,Hayward Unified,hispanic,-76.6,-81.8,5.2,Alameda
1741,61192,Hayward Unified,homeless_youth,-96.1,-85.9,-10.1,Alameda
1742,61192,Hayward Unified,multiple_races,-31.1,-28.8,-2.3,Alameda
1743,61192,Hayward Unified,pacific_islander,-71.0,-74.3,3.4,Alameda
1744,61192,Hayward Unified,rfep_only,-51.3,-56.5,5.2,Alameda
1745,61192,Hayward Unified,ses_disad,-75.9,-81.2,5.3,Alameda
1746,61192,Hayward Unified,disabilities,-144.0,-142.7,-1.3,Alameda
1747,61192,Hayward Unified,white,-45.4,-54.6,9.2,Alameda
2311,61200,Livermore Valley Joint Unified,african_american,-42.2,-59.6,17.5,Alameda
2312,61200,Livermore Valley Joint Unified,american_indian,-64.3,-81.9,17.7,Alameda
2313,61200,Livermore Valley Joint Unified,all_students,-6.3,-10.1,3.8,Alameda
2314,61200,Livermore Valley Joint Unified,asian,63.7,49.3,14.4,Alameda
2315,61200,Livermore Valley Joint Unified,english_learners,-60.1,-65.7,5.6,Alameda
2316,61200,Livermore Valley Joint Unified,english_learners_only,-105.7,-104.0,-1.6,Alameda
2317,61200,Livermore Valley Joint Unified,english_only,3.9,0.9,3.0,Alameda
2318,61200,Livermore Valley Joint Unified,filipino,7.7,3.6,4.1,Alameda
2319,61200,Livermore Valley Joint Unified,foster_youth,-81.2,,,Alameda
2320,61200,Livermore Valley Joint Unified,hispanic,-55.1,-54.0,-1.1,Alameda
2321,61200,Livermore Valley Joint Unified,homeless_youth,-75.2,-64.5,-10.7,Alameda
2322,61200,Livermore Valley Joint Unified,multiple_races,22.9,16.2,6.6,Alameda
2323,61200,Livermore Valley Joint Unified,pacific_islander,-44.1,-28.5,-15.6,Alameda
2324,61200,Livermore Valley Joint Unified,rfep_only,-8.8,-10.7,1.9,Alameda
2325,61200,Livermore Valley Joint Unified,ses_disad,-65.2,-69.8,4.6,Alameda
2326,61200,Livermore Valley Joint Unified,disabilities,-102.8,-109.8,7.0,Alameda
2327,61200,Livermore Valley Joint Unified,white,8.6,6.1,2.5,Alameda
2592,61218,Mountain House Elementary,american_indian,,,,Alameda
2593,61218,Mountain House Elementary,all_students,,,,Alameda
2594,61218,Mountain House Elementary,english_learners,,,,Alameda
2595,61218,Mountain House Elementary,english_learners_only,,,,Alameda
2596,61218,Mountain House Elementary,english_only,,,,Alameda
2597,61218,Mountain House Elementary,hispanic,,,,Alameda
2598,61218,Mountain House Elementary,pacific_islander,,,,Alameda
2599,61218,Mountain House Elementary,ses_disad,,,,Alameda
2600,61218,Mountain House Elementary,white,,,,Alameda
2610,61234,Newark Unified,african_american,-66.7,-72.9,6.3,Alameda
2611,61234,Newark Unified,american_indian,,,,Alameda
2612,61234,Newark Unified,all_students,-39.3,-38.1,-1.2,Alameda
2613,61234,Newark Unified,asian,34.4,24.0,10.4,Alameda
2614,61234,Newark Unified,english_learners,-71.9,-68.8,-3.1,Alameda
2615,61234,Newark Unified,english_learners_only,-107.4,-108.3,0.9,Alameda
2616,61234,Newark Unified,english_only,-19.9,-20.4,0.5,Alameda
2617,61234,Newark Unified,filipino,0.9,-6.8,7.7,Alameda
2618,61234,Newark Unified,foster_youth,,,,Alameda
2619,61234,Newark Unified,hispanic,-71.9,-64.8,-7.1,Alameda
2620,61234,Newark Unified,homeless_youth,-74.2,-62.1,-12.1,Alameda
2621,61234,Newark Unified,multiple_races,4.8,-3.5,8.3,Alameda
2622,61234,Newark Unified,pacific_islander,-48.1,-34.0,-14.1,Alameda
2623,61234,Newark Unified,rfep_only,-31.0,-37.8,6.8,Alameda
2624,61234,Newark Unified,ses_disad,-65.8,-64.3,-1.4,Alameda
2625,61234,Newark Unified,disabilities,-140.7,-126.4,-14.3,Alameda
2626,61234,Newark Unified,white,-10.5,-9.6,-0.9,Alameda
2785,61242,New Haven Unified,african_american,-84.0,-94.4,10.4,Alameda
2786,61242,New Haven Unified,american_indian,-9.3,-45.3,35.9,Alameda
2787,61242,New Haven Unified,all_students,-30.2,-30.9,0.7,Alameda
