 County Code ,District Code,School Code,Local Educational Agency ,Charter Number," TK/K-3 ADA
Target, B-5/B-1 "," 4 - 6 ADA
Target, B-6/B-2 "," 7 - 8 ADA
Target, B-7/B-3 "," 9 - 12 ADA
Target, B-8/B-4 ","Unduplicated Pupil Percentage
Target, D-1"," Base Grant Funding
Target, C-5 "," Supplemental Grant Funding
Target, D-7 "," Concentration Grant Funding
Target, E-8 "," Necessary Small Schools Allowance
Target, F-1 "," Add-On (Based on 2012-13 Targeted Instructional Improvement Block Grant)
Target, F-2 "," Add-On (Based on 2012-13 Home-to-School Transportation)
Target, F-3 "," Add-On (Based on 2012-13 Small School District Bus Replacement Program)
Target, F-4 "," Total LCFF Target Entitlement
Target, G-1/F-1 "," Total LCFF Floor Entitlement
Transition, B-13 "," Current Year Gap Funding (100%)
Transition, C-3 "," Economic Recovery Target
Transition, D-1 "," Miscellaneous Adjustments
Transition, E-1 "," Total Local Revenue or In-Lieu of Property Taxes
Transition, F-2/F-7 "," Education Protection Account Entitlement
Transition, F-5/F-9 "," Net State Aid
Transition, F-6/F-10 "," Additional SA for MSA Guarantee
Transition, H-1/H-2 "
01,10017,0112607,Envision Academy for Arts & Technology,0811, -   , -   , -   , 359.23 , 0.7785 ," $3,329,703 "," $518,435 "," $362,605 ", N/A , N/A , N/A , N/A ," $4,210,743 "," $3,871,076 "," $339,667 ", $- , $- ," $894,989 "," $683,070 "," $2,632,684 ", $- 
01,10017,0123968,Community School for Creative Education,1284, 125.80 , 66.49 , 32.89 , -   , 0.7936 ," 1,795,769 "," 285,024 "," 195,559 ", N/A , N/A , N/A , N/A ," 2,276,352 "," 2,124,388 "," 151,964 ", - , - ," 561,016 "," 354,307 "," 1,361,029 ", - 
01,10017,0124172,Yu Ming Charter,1296, 252.38 , 134.11 , 48.83 , -   , 0.1892 ," 3,474,375 "," 131,471 ", - , N/A , N/A , N/A , N/A ," 3,605,846 "," 3,388,539 "," 217,307 ", - , - , - ," 683,750 "," 2,922,096 ", - 
01,10017,0125567,Urban Montessori Charter,1383, 271.70 , 101.50 , 26.45 , -   , 0.3756 ," 3,212,111 "," 241,293 ", - , N/A , N/A , N/A , N/A ," 3,453,404 "," 3,238,948 "," 214,456 ", - , - ," 995,692 "," 627,724 "," 1,829,988 ", - 
01,10017,0131581,Oakland Unity Middle School,1707, -   , 61.99 , 109.29 , -   , 0.9199 ," 1,321,351 "," 243,103 "," 143,896 ", N/A , N/A , N/A , N/A ," 1,708,350 "," 1,620,979 "," 87,371 ", - , - ," 426,729 "," 34,256 "," 1,247,365 ", - 
01,10017,0136101,"Connecting Waters Charter School, East Bay",1881, 119.54 , 102.23 , 61.30 , 63.04 , 0.1810 ," 2,820,608 "," 102,106 ", - , N/A , N/A , N/A , N/A ," 2,922,714 "," 2,952,211 ", - , - , - ," 1,010,170 "," 69,222 "," 1,843,322 ", - 
01,10017,0136226,Opportunity Academy,1888, -   , -   , -   , 70.57 , 0.5914 ," 654,113 "," 77,368 "," 13,540 ", N/A , N/A , N/A , N/A ," 745,021 "," 749,138 ", - , - , - ," 180,018 "," 14,114 "," 550,889 ", - 
01,10017,0137448,Aurum Preparatory Academy,1908, -   , 85.38 , -   , -   , 0.8901 ," 646,412 "," 115,074 "," 70,394 ", N/A , N/A , N/A , N/A ," 831,880 "," 874,737 ", - , - , - ," 212,717 "," 17,076 "," 602,087 ", - 
01,10017,6001788,Cox Academy,0740, 386.97 , 188.34 , -   , -   , 0.9448 ," 4,612,620 "," 871,600 "," 502,314 ", N/A , N/A , N/A , N/A ," 5,986,534 "," 5,603,859 "," 382,675 ", - , - ," 1,433,333 "," 908,013 "," 3,645,188 ", - 
01,10017,6002000,Lazear Charter Academy,1464, 198.66 , 155.95 , 93.66 , -   , 0.9317 ," 3,546,835 "," 660,917 "," 386,251 ", N/A , N/A , N/A , N/A ," 4,594,003 "," 4,293,825 "," 300,178 ", - , - ," 1,116,824 "," 709,346 "," 2,767,833 ", - 
01,61119,0000000,Alameda Unified,N/A," 2,870.43 "," 1,917.91 "," 1,219.66 "," 3,050.17 ", 0.3486 ," 75,938,983 "," 5,294,466 ", - , - ," 665,778 "," 258,889 ", - ," 82,158,116 "," 77,176,229 "," 4,981,887 ", - , - ," 29,277,891 "," 14,772,333 "," 38,107,892 ", - 
01,61119,0119222,Nea Community Learning Center,1066, 187.59 , 155.30 , 65.73 , 149.01 , 0.3822 ," 4,614,185 "," 352,708 ", - , N/A , N/A , N/A , N/A ," 4,966,893 "," 4,598,914 "," 367,979 ", - , - ," 1,691,085 "," 922,557 "," 2,353,251 ", - 
